prn,fullName,degree,branch,cgpa
PRN20240061,Manasvi Kulkarni,Bachelor of Technology,Computer Science & Engineering,9.48
PRN20240062,Tushar Borse,Bachelor of Technology,Artificial Intelligence & Data Science,8.92
PRN20240063,Ishita Chakraborty,Bachelor of Technology,Information Technology,8.70
PRN20240064,Swapnil Deshmukh,Bachelor of Technology,Electronics & Computer Engineering,8.34
PRN20240065,Ruturaj Gaikwad,Bachelor of Technology,Robotics & Automation,9.15
PRN20240066,Mridula Nair,Bachelor of Technology,Computer Science & Engineering,9.62
PRN20240067,Atharva Kadam,Bachelor of Technology,Mechanical Engineering,7.85
PRN20240068,Apurva Patil,Bachelor of Technology,Civil Engineering,8.26
PRN20240069,Shantanu Shinde,Bachelor of Technology,Chemical Engineering,8.49
PRN20240070,Sanika Joshi,Bachelor of Technology,Artificial Intelligence & Data Science,9.38
