prn,fullName,degree,branch,cgpa
PRN20240001,Aarav Sharma,Bachelor of Technology,Computer Science & Engineering,9.42
PRN20240002,Ananya Malhotra,Bachelor of Technology,Artificial Intelligence & Data Science,9.15
PRN20240003,Rohan Kulkarni,Bachelor of Technology,Information Technology,8.24
PRN20240004,Pooja Patil,Bachelor of Technology,Electronics & Computer Engineering,8.65
PRN20240005,Siddharth Joshi,Bachelor of Technology,Computer Science & Engineering,8.89
PRN20240006,Neha Kulkarni,Bachelor of Technology,Artificial Intelligence & Data Science,9.05
PRN20240007,Aditya Pawar,Bachelor of Technology,Mechanical Engineering,7.92
PRN20240008,Riya Sen,Bachelor of Technology,Civil Engineering,8.14
PRN20240009,Kunal Verma,Bachelor of Technology,Computer Science & Engineering,8.76
PRN20240010,Isha Gupta,Bachelor of Technology,Artificial Intelligence & Data Science,9.68
PRN20240011,Vikram Shinde,Bachelor of Technology,Information Technology,8.35
PRN20240012,Sneha Jagtap,Bachelor of Technology,Computer Science & Engineering,9.28
PRN20240013,Gaurav More,Bachelor of Technology,Mechanical Engineering,7.82
PRN20240014,Tanvi Bhosale,Bachelor of Technology,Electronics & Computer Engineering,8.91
PRN20240015,Omkar Chavan,Bachelor of Technology,Computer Science & Engineering,8.54
PRN20240016,Shruti Jadhav,Bachelor of Technology,Information Technology,8.78
PRN20240017,Pranav Kale,Bachelor of Technology,Civil Engineering,7.65
PRN20240018,Divya Rathod,Bachelor of Technology,Artificial Intelligence & Data Science,9.32
PRN20240019,Abhishek Gaikwad,Bachelor of Technology,Computer Science & Engineering,8.44
PRN20240020,Meera Nair,Bachelor of Technology,Electronics & Computer Engineering,8.98
PRN20240021,Yash Salunke,Bachelor of Technology,Information Technology,8.12
PRN20240022,Kavya Iyer,Bachelor of Technology,Computer Science & Engineering,9.55
PRN20240023,Saurabh Mane,Bachelor of Technology,Mechanical Engineering,7.74
PRN20240024,Priyanka Thorat,Bachelor of Technology,Civil Engineering,8.08
PRN20240025,Harsh Vardhan,Bachelor of Technology,Computer Science & Engineering,8.82
PRN20240026,Aishwarya Rao,Bachelor of Technology,Artificial Intelligence & Data Science,9.21
PRN20240027,Nikhil Mohite,Bachelor of Technology,Information Technology,8.47
PRN20240028,Sayali Ghorpade,Bachelor of Technology,Electronics & Computer Engineering,8.63
PRN20240029,Ajay Solanke,Bachelor of Technology,Mechanical Engineering,7.88
PRN20240030,Shweta Kadam,Bachelor of Technology,Computer Science & Engineering,9.12
PRN20240031,Akash Shirsat,Bachelor of Technology,Civil Engineering,7.95
PRN20240032,Pallavi Date,Bachelor of Technology,Information Technology,8.72
PRN20240033,Rahul Sonawane,Bachelor of Technology,Computer Science & Engineering,8.61
PRN20240034,Gayatri Mule,Bachelor of Technology,Artificial Intelligence & Data Science,9.40
PRN20240035,Tejas Wagh,Bachelor of Technology,Mechanical Engineering,8.05
PRN20240036,Sanjana Bagul,Bachelor of Technology,Electronics & Computer Engineering,8.84
PRN20240037,Deepak Bhalerao,Bachelor of Technology,Information Technology,8.29
PRN20240038,Mansi Mahajan,Bachelor of Technology,Computer Science & Engineering,9.36
PRN20240039,Sumit Khade,Bachelor of Technology,Civil Engineering,7.79
PRN20240040,Ruchira Ghodke,Bachelor of Technology,Artificial Intelligence & Data Science,9.18
PRN20240041,Manish Ghuge,Bachelor of Technology,Mechanical Engineering,7.68
PRN20240042,Vaishnavi Tambe,Bachelor of Technology,Computer Science & Engineering,9.47
PRN20240043,Chetan Narwade,Bachelor of Technology,Information Technology,8.19
PRN20240044,Madhuri Shelke,Bachelor of Technology,Electronics & Computer Engineering,8.75
PRN20240045,Karthik Pillai,Bachelor of Technology,Computer Science & Engineering,8.93
PRN20240046,Ankita Landge,Bachelor of Technology,Civil Engineering,8.11
PRN20240047,Sagar Gunjal,Bachelor of Technology,Artificial Intelligence & Data Science,8.88
PRN20240048,Pooja Khandare,Bachelor of Technology,Information Technology,8.52
PRN20240049,Vivek Dandge,Bachelor of Technology,Mechanical Engineering,8.22
PRN20240050,Radhika Kute,Bachelor of Technology,Computer Science & Engineering,9.75
