prn,fullName,degree,branch,cgpa
PRN20240051,Aayush Deshpande,Bachelor of Technology,Computer Science & Engineering,9.35
PRN20240052,Mitali Kulkarni,Bachelor of Technology,Artificial Intelligence & Data Science,9.12
PRN20240053,Sanket Shinde,Bachelor of Technology,Information Technology,8.45
PRN20240054,Pranali Gaikwad,Bachelor of Technology,Electronics & Computer Engineering,8.78
PRN20240055,Chinmay Joshi,Bachelor of Technology,Computer Science & Engineering,8.90
PRN20240056,Tejaswini Patil,Bachelor of Technology,Artificial Intelligence & Data Science,9.50
PRN20240057,Omkar Wagh,Bachelor of Technology,Mechanical Engineering,7.98
PRN20240058,Aniket Salunke,Bachelor of Technology,Civil Engineering,8.15
PRN20240059,Vaibhavi More,Bachelor of Technology,Computer Science & Engineering,9.02
PRN20240060,Rohit Jadhav,Bachelor of Technology,Information Technology,8.64
